"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,53,82,66,17
94,40,50,84,66,14
78,58,50,86,82,24
78,57,56,79,65,19
83,56,55,84,69,22
81,45,49,77,69,19
83,49,59,73,63,21
92,46,55,83,63,20
93,53,64,82,56,19
75,45,56,64,57,18
74,48,50,72,58,23
81,36,33,84,76,16
90,54,36,108,76,22
104,48,70,82,65,20
70,50,46,74,73,22
68,53,31,90,82,17
72,60,53,79,79,20
78,47,36,89,82,13
69,57,55,71,68,23
76,49,56,69,65,11
88,48,52,84,72,21
65,61,51,75,72,16
76,38,51,63,67,23
82,41,41,82,73,20
94,47,55,86,68,22
59,43,31,71,78,21
73,49,58,64,52,16
88,45,51,82,68,30
70,64,49,85,78,17
68,44,41,71,69,26
71,58,52,77,70,19
78,54,55,77,65,21
69,50,50,69,61,22
88,63,64,87,65,14
104,52,55,101,55,16
88,53,61,80,61,28
81,50,42,89,76,23
80,54,52,82,72,15
76,47,55,68,65,20
86,58,74,70,61,24
81,50,51,80,60,12
92,47,49,90,78,19
87,58,50,95,67,15
79,46,42,83,72,16
92,42,59,75,56,21
88,40,41,87,77,21
88,48,36,100,84,22
77,48,38,87,91,21
87,34,44,77,76,19
87,46,58,75,63,17
65,48,51,62,54,17
89,41,41,89,73,16
90,48,39,99,91,14
80,45,45,80,78,22
66,42,46,62,64,16
83,52,56,79,72,22
78,43,56,65,66,14
85,58,52,91,64,22
75,48,48,75,64,16
82,53,53,82,82,23
77,50,51,76,71,20
101,52,44,109,79,18
82,64,58,88,74,25
66,48,46,68,67,24
72,49,37,84,76,23
75,42,51,66,58,23
77,50,43,84,68,16
72,44,34,82,79,19
90,45,40,95,80,28
82,50,48,84,72,21
69,48,43,74,67,23
71,42,30,83,88,20
72,45,46,71,66,25
81,52,51,82,74,22
65,54,48,71,69,23
84,58,54,88,73,16
82,38,41,79,79,17
85,46,39,92,78,25
70,51,37,84,77,17
103,60,56,107,75,26
63,52,33,82,72,16
70,28,29,69,78,20
75,43,47,71,65,22
71,62,43,90,79,19
80,62,55,87,69,21
88,41,36,93,90,31
68,53,44,77,74,16
73,50,44,79,69,19
85,51,53,83,73,16
67,44,44,67,69,14
72,52,47,77,77,23
100,49,58,91,70,18
83,39,38,84,79,24
79,35,41,73,72,25
75,58,54,79,59,11
74,49,44,79,66,18
85,46,52,79,62,15
69,51,51,69,63,20
73,44,43,74,70,21
80,52,52,80,70,24
84,51,45,90,71,19
74,55,42,87,84,19
73,48,57,64,53,26
81,53,57,77,61,26
98,38,57,79,62,12
84,50,58,76,65,19
93,48,62,79,62,9
75,49,42,82,65,17
69,45,42,72,77,29
70,47,42,75,83,24
86,56,62,80,55,23
89,53,61,81,57,20
87,47,48,86,84,20
66,50,53,63,58,17
74,57,56,75,59,20
84,56,54,86,61,20
79,54,55,78,63,18
87,43,36,94,79,15
82,49,52,79,81,22
78,48,51,75,65,24
75,47,51,71,71,16
79,42,55,66,57,20
84,56,63,77,61,23
79,52,48,83,74,13
88,40,38,90,69,21
85,57,52,90,71,23
78,61,69,70,56,18
85,41,57,69,54,30
80,42,42,80,73,12
78,53,39,92,74,16
68,51,40,79,73,26
77,43,46,74,65,14
74,60,41,93,74,28
75,43,58,60,52,25
83,57,61,79,59,22
79,52,51,80,70,17
77,55,53,79,71,18
80,52,49,83,78,24
80,58,53,85,76,28
89,53,65,77,65,22
76,49,44,81,70,17
66,49,44,71,66,15
74,48,37,85,78,20
69,45,37,77,80,22
74,45,41,78,75,25
66,53,39,80,76,22
62,48,38,72,73,21
70,47,52,65,63,17
75,49,48,76,73,32
80,55,48,87,75,23
73,44,36,81,91,28
85,57,50,92,84,28
84,54,51,87,77,21
87,47,58,76,50,23
71,60,57,74,64,21
73,41,43,71,68,19
67,44,41,70,68,17
71,48,41,78,82,22
78,53,48,83,73,25
61,59,60,60,67,22
65,55,45,75,61,18
58,46,39,65,65,19
75,59,57,77,64,22
93,44,58,79,70,18
74,61,50,85,69,19
70,53,48,75,66,22
84,82,74,92,57,19
68,34,39,63,72,18
94,43,46,91,61,14
73,48,46,75,74,19
75,49,47,77,66,19
70,42,48,64,64,9
92,56,53,95,68,30
83,45,43,85,68,25
73,46,48,71,68,18
78,53,48,83,75,16
99,48,63,84,63,21
72,48,45,75,76,22
73,52,58,67,62,17
78,42,53,67,65,25
86,50,60,76,61,15
74,53,36,91,90,19
67,60,57,70,61,18
77,63,56,84,64,19
75,59,44,90,79,16
78,48,43,83,76,18
87,40,50,77,57,23
96,55,61,90,66,25
78,48,42,84,69,22
86,57,68,75,56,21
72,49,56,65,65,26
77,54,42,89,66,14
93,52,53,92,78,15
83,60,50,93,71,25
81,51,52,80,66,16
85,56,55,86,72,32
88,50,61,77,65,21
73,45,44,74,76,20
85,50,55,80,59,19
83,49,42,90,69,28
67,49,42,74,73,16
84,55,52,87,79,27
80,64,70,74,63,25
73,41,44,70,70,29
79,52,55,76,59,24
82,44,49,77,68,22
79,51,42,88,80,18
88,41,42,87,88,17
95,53,41,107,83,21
82,44,36,90,84,21
68,49,56,61,63,22
90,52,53,89,68,18
88,51,53,86,68,23
76,61,47,90,76,14
80,56,49,87,77,32
89,46,35,100,86,26
87,43,45,85,76,18
90,43,47,86,66,17
79,40,37,82,80,18
77,45,42,80,78,22
63,51,43,71,76,23
78,69,66,81,66,21
69,53,48,74,73,21
78,63,58,83,83,17
77,52,55,74,71,20
94,54,47,101,74,17
96,48,53,91,74,16
93,38,50,81,75,20
64,48,55,57,61,18
76,47,34,89,77,25
84,36,61,59,61,19
78,44,46,76,74,23
91,49,50,90,67,17
63,58,44,77,77,16
92,57,60,89,64,20
61,55,36,80,74,15
82,56,47,91,67,21
84,36,52,68,58,18
72,46,49,69,65,17
83,57,55,85,75,27
87,46,47,86,68,14
87,44,59,72,55,19
81,45,57,69,57,13
72,40,36,76,71,18
89,62,63,88,63,17
67,54,42,79,80,21
