"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,60,75,66,17
94,40,48,86,66,14
78,58,50,86,82,24
78,57,56,79,65,19
83,56,60,79,69,22
81,45,62,64,69,19
83,49,52,80,63,21
92,46,66,72,63,20
93,53,61,85,56,19
75,45,58,62,57,18
74,48,53,69,58,23
81,36,46,71,76,16
90,54,58,86,76,22
104,48,65,87,65,20
70,50,53,67,73,22
68,53,47,74,82,17
72,60,44,88,79,20
78,47,46,79,82,13
69,57,54,72,68,23
76,49,53,72,65,11
88,48,49,87,72,21
65,61,45,81,72,16
76,38,44,70,67,23
82,41,52,71,73,20
94,47,76,65,68,22
59,43,35,67,78,21
73,49,52,70,52,16
88,45,62,71,68,30
70,64,49,85,78,17
68,44,47,65,69,26
71,58,52,77,70,19
78,54,61,71,65,21
69,50,52,67,61,22
88,63,69,82,65,14
104,52,78,78,55,16
88,53,65,76,61,28
81,50,54,77,76,23
80,54,43,91,72,15
76,47,61,62,65,20
86,58,73,71,61,24
81,50,53,78,60,12
92,47,45,94,78,19
87,58,61,84,67,15
79,46,46,79,72,16
92,42,65,69,56,21
88,40,49,79,77,21
88,48,47,89,84,22
77,48,39,86,91,21
87,34,51,70,76,19
87,46,63,70,63,17
65,48,55,58,54,17
89,41,50,80,73,16
90,48,46,92,91,14
80,45,44,81,78,22
66,42,44,64,64,16
83,52,53,82,72,22
78,43,52,69,66,14
85,58,60,83,64,22
75,48,54,69,64,16
82,53,46,89,82,23
77,50,51,76,71,20
101,52,68,85,79,18
82,64,61,85,74,25
66,48,47,67,67,24
72,49,54,67,76,23
75,42,55,62,58,23
77,50,55,72,68,16
72,44,42,74,79,19
90,45,59,76,80,28
82,50,59,73,72,21
69,48,48,69,67,23
71,42,33,80,88,20
72,45,54,63,66,25
81,52,53,80,74,22
65,54,53,66,69,23
84,58,55,87,73,16
82,38,42,78,79,17
85,46,47,84,78,25
70,51,47,74,77,17
103,60,69,94,75,26
63,52,45,70,72,16
70,28,40,58,78,20
75,43,49,69,65,22
71,62,43,90,79,19
80,62,56,86,69,21
88,41,45,84,90,31
68,53,41,80,74,16
73,50,58,65,69,19
85,51,48,88,73,16
67,44,50,61,69,14
72,52,50,74,77,23
100,49,57,92,70,18
83,39,46,76,79,24
79,35,43,71,72,25
75,58,60,73,59,11
74,49,62,61,66,18
85,46,56,75,62,15
69,51,55,65,63,20
73,44,47,70,70,21
80,52,52,80,70,24
84,51,58,77,71,19
74,55,46,83,84,19
73,48,58,63,53,26
81,53,62,72,61,26
98,38,57,79,62,12
84,50,59,75,65,19
93,48,59,82,62,9
75,49,51,73,65,17
69,45,51,63,77,29
70,47,38,79,83,24
86,56,67,75,55,23
89,53,70,72,57,20
87,47,49,85,84,20
66,50,54,62,58,17
74,57,60,71,59,20
84,56,66,74,61,20
79,54,58,75,63,18
87,43,51,79,79,15
82,49,52,79,81,22
78,48,57,69,65,24
75,47,48,74,71,16
79,42,58,63,57,20
84,56,67,73,61,23
79,52,50,81,74,13
88,40,55,73,69,21
85,57,61,81,71,23
78,61,63,76,56,18
85,41,64,62,54,30
80,42,48,74,73,12
78,53,51,80,74,16
68,51,45,74,73,26
77,43,49,71,65,14
74,60,58,76,74,28
75,43,64,54,52,25
83,57,65,75,59,22
79,52,50,81,70,17
77,55,45,87,71,18
80,52,53,79,78,24
80,58,56,82,76,28
89,53,56,86,65,22
76,49,41,84,70,17
66,49,47,68,66,15
74,48,54,68,78,20
69,45,40,74,80,22
74,45,52,67,75,25
66,53,45,74,76,22
62,48,47,63,73,21
70,47,54,63,63,17
75,49,51,73,73,32
80,55,47,88,75,23
73,44,37,80,91,28
85,57,55,87,84,28
84,54,60,78,77,21
87,47,67,67,50,23
71,60,55,76,64,21
73,41,42,72,68,19
67,44,50,61,68,17
71,48,47,72,82,22
78,53,57,74,73,25
61,59,47,73,67,22
65,55,51,69,61,18
58,46,46,58,65,19
75,59,57,77,64,22
93,44,55,82,70,18
74,61,59,76,69,19
70,53,56,67,66,22
84,82,74,92,57,19
68,34,42,60,72,18
94,43,65,72,61,14
73,48,43,78,74,19
75,49,49,75,66,19
70,42,52,60,64,9
92,56,61,87,68,30
83,45,57,71,68,25
73,46,57,62,68,18
78,53,43,88,75,16
99,48,68,79,63,21
72,48,44,76,76,22
73,52,57,68,62,17
78,42,51,69,65,25
86,50,62,74,61,15
74,53,43,84,90,19
67,60,52,75,61,18
77,63,54,86,64,19
75,59,53,81,79,16
78,48,48,78,76,18
87,40,62,65,57,23
96,55,63,88,66,25
78,48,45,81,69,22
86,57,66,77,56,21
72,49,52,69,65,26
77,54,49,82,66,14
93,52,45,100,78,15
83,60,55,88,71,25
81,51,53,79,66,16
85,56,65,76,72,32
88,50,64,74,65,21
73,45,43,75,76,20
85,50,61,74,59,19
83,49,63,69,69,28
67,49,41,75,73,16
84,55,60,79,79,27
80,64,60,84,63,25
73,41,44,70,70,29
79,52,57,74,59,24
82,44,55,71,68,22
79,51,49,81,80,18
88,41,41,88,88,17
95,53,53,95,83,21
82,44,42,84,84,21
68,49,51,66,63,22
90,52,63,79,68,18
88,51,59,80,68,23
76,61,49,88,76,14
80,56,51,85,77,32
89,46,47,88,86,26
87,43,51,79,76,18
90,43,57,76,66,17
