"patch1.before","patch2.before","patch1.after","patch2.after"
82,53,84,51
94,40,84,50
78,58,76,60
78,57,76,59
83,56,74,65
81,45,72,54
83,49,73,59
92,46,87,51
93,53,89,57
75,45,71,49
74,48,73,49
81,36,73,44
90,54,83,61
104,48,93,59
70,50,67,53
68,53,68,53
72,60,74,58
78,47,76,49
69,57,73,53
76,49,71,54
88,48,80,56
65,61,67,59
76,38,67,47
82,41,78,45
94,47,89,52
59,43,52,50
73,49,72,50
88,45,84,49
70,64,66,68
68,44,65,47
71,58,67,62
78,54,72,60
69,50,63,56
88,63,85,66
104,52,98,58
88,53,83,58
81,50,78,53
80,54,78,56
76,47,71,52
86,58,78,66
81,50,81,50
92,47,83,56
87,58,85,60
79,46,69,56
92,42,84,50
88,40,79,49
88,48,82,54
77,48,76,49
87,34,77,44
87,46,77,56
65,48,59,54
89,41,77,53
90,48,83,55
80,45,77,48
66,42,62,46
83,52,77,58
78,43,74,47
85,58,85,58
75,48,74,49
82,53,77,58
77,50,71,56
101,52,99,54
82,64,76,70
66,48,65,49
72,49,71,50
75,42,66,51
77,50,71,56
72,44,70,46
90,45,84,51
82,50,81,51
69,48,67,50
71,42,66,47
72,45,73,44
81,52,73,60
65,54,60,59
84,58,81,61
82,38,74,46
85,46,76,55
70,51,71,50
103,60,95,68
63,52,59,56
70,28,63,35
75,43,72,46
71,62,70,63
80,62,77,65
88,41,84,45
68,53,70,51
73,50,73,50
85,51,83,53
67,44,65,46
72,52,67,57
100,49,90,59
83,39,80,42
79,35,69,45
75,58,73,60
74,49,71,52
85,46,78,53
69,51,69,51
73,44,66,51
80,52,74,58
84,51,80,55
74,55,71,58
73,48,69,52
81,53,78,56
98,38,86,50
84,50,83,51
93,48,81,60
75,49,73,51
69,45,67,47
70,47,69,48
86,56,81,61
89,53,81,61
87,47,76,58
66,50,65,51
74,57,71,60
84,56,79,61
79,54,74,59
87,43,77,53
82,49,79,52
78,48,78,48
75,47,73,49
79,42,70,51
84,56,73,67
79,52,72,59
88,40,79,49
85,57,83,59
78,61,76,63
85,41,81,45
80,42,74,48
78,53,75,56
68,51,66,53
77,43,76,44
74,60,70,64
75,43,69,49
83,57,76,64
79,52,77,54
77,55,75,57
80,52,73,59
80,58,81,57
89,53,82,60
76,49,73,52
66,49,64,51
74,48,74,48
69,45,59,55
74,45,69,50
66,53,60,59
62,48,59,51
70,47,68,49
75,49,71,53
80,55,78,57
73,44,66,51
85,57,76,66
84,54,78,60
87,47,80,54
71,60,64,67
73,41,69,45
67,44,67,44
71,48,70,49
