"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,35,100,66,17
94,40,33,101,66,14
78,58,47,89,82,24
78,57,39,96,65,19
83,56,47,92,69,22
81,45,49,77,69,19
83,49,45,87,63,21
92,46,60,78,63,20
93,53,56,90,56,19
75,45,41,79,57,18
74,48,48,74,58,23
81,36,33,84,76,16
90,54,40,104,76,22
104,48,44,108,65,20
70,50,30,90,73,22
68,53,37,84,82,17
72,60,32,100,79,20
78,47,33,92,82,13
69,57,48,78,68,23
76,49,32,93,65,11
88,48,43,93,72,21
65,61,48,78,72,16
76,38,39,75,67,23
82,41,32,91,73,20
94,47,37,104,68,22
59,43,36,66,78,21
73,49,41,81,52,16
88,45,44,89,68,30
70,64,38,96,78,17
68,44,39,73,69,26
71,58,39,90,70,19
78,54,43,89,65,21
69,50,36,83,61,22
88,63,56,95,65,14
104,52,50,106,55,16
88,53,35,106,61,28
81,50,45,86,76,23
80,54,33,101,72,15
76,47,33,90,65,20
86,58,57,87,61,24
81,50,49,82,60,12
92,47,31,108,78,19
87,58,38,107,67,15
79,46,34,91,72,16
92,42,46,88,56,21
88,40,27,101,77,21
88,48,35,101,84,22
77,48,29,96,91,21
87,34,32,89,76,19
87,46,36,97,63,17
65,48,48,65,54,17
89,41,31,99,73,16
90,48,28,110,91,14
80,45,41,84,78,22
66,42,34,74,64,16
83,52,44,91,72,22
78,43,38,83,66,14
85,58,55,88,64,22
75,48,48,75,64,16
82,53,22,113,82,23
77,50,41,86,71,20
101,52,37,116,79,18
82,64,37,109,74,25
66,48,45,69,67,24
72,49,35,86,76,23
75,42,52,65,58,23
77,50,43,84,68,16
72,44,31,85,79,19
90,45,37,98,80,28
82,50,39,93,72,21
69,48,47,70,67,23
71,42,27,86,88,20
72,45,44,73,66,25
81,52,33,100,74,22
65,54,40,79,69,23
84,58,45,97,73,16
82,38,31,89,79,17
85,46,37,94,78,25
70,51,26,95,77,17
103,60,57,106,75,26
63,52,29,86,72,16
70,28,25,73,78,20
75,43,35,83,65,22
71,62,35,98,79,19
80,62,42,100,69,21
88,41,31,98,90,31
68,53,34,87,74,16
73,50,39,84,69,19
85,51,33,103,73,16
67,44,34,77,69,14
72,52,41,83,77,23
100,49,37,112,70,18
83,39,37,85,79,24
79,35,38,76,72,25
75,58,47,86,59,11
74,49,40,83,66,18
85,46,44,87,62,15
69,51,38,82,63,20
73,44,40,77,70,21
80,52,43,89,70,24
84,51,40,95,71,19
74,55,39,90,84,19
73,48,49,72,53,26
81,53,49,85,61,26
98,38,38,98,62,12
84,50,39,95,65,19
93,48,47,94,62,9
75,49,41,83,65,17
69,45,36,78,77,29
70,47,28,89,83,24
86,56,55,87,55,23
89,53,49,93,57,20
87,47,32,102,84,20
66,50,44,72,58,17
74,57,43,88,59,20
84,56,50,90,61,20
79,54,38,95,63,18
87,43,31,99,79,15
82,49,35,96,81,22
78,48,39,87,65,24
75,47,38,84,71,16
79,42,37,84,57,20
84,56,48,92,61,23
79,52,34,97,74,13
88,40,37,91,69,21
85,57,44,98,71,23
78,61,58,81,56,18
85,41,44,82,54,30
80,42,40,82,73,12
78,53,38,93,74,16
68,51,46,73,73,26
77,43,33,87,65,14
74,60,45,89,74,28
75,43,46,72,52,25
83,57,45,95,59,22
79,52,45,86,70,17
77,55,40,92,71,18
80,52,48,84,78,24
80,58,38,100,76,28
89,53,44,98,65,22
76,49,33,92,70,17
66,49,33,82,66,15
74,48,29,93,78,20
69,45,25,89,80,22
74,45,37,82,75,25
66,53,40,79,76,22
62,48,27,83,73,21
70,47,37,80,63,17
75,49,39,85,73,32
80,55,43,92,75,23
73,44,26,91,91,28
85,57,37,105,84,28
84,54,49,89,77,21
87,47,49,85,50,23
71,60,48,83,64,21
73,41,39,75,68,19
67,44,25,86,68,17
71,48,27,92,82,22
78,53,36,95,73,25
61,59,39,81,67,22
65,55,43,77,61,18
58,46,31,73,65,19
75,59,51,83,64,22
93,44,35,102,70,18
74,61,42,93,69,19
70,53,38,85,66,22
84,82,63,103,57,19
68,34,28,74,72,18
94,43,39,98,61,14
73,48,38,83,74,19
75,49,43,81,66,19
70,42,28,84,64,9
92,56,53,95,68,30
83,45,40,88,68,25
73,46,35,84,68,18
78,53,40,91,75,16
99,48,49,98,63,21
72,48,40,80,76,22
73,52,44,81,62,17
78,42,42,78,65,25
86,50,46,90,61,15
74,53,33,94,90,19
67,60,37,90,61,18
77,63,43,97,64,19
75,59,38,96,79,16
78,48,36,90,76,18
87,40,37,90,57,23
96,55,42,109,66,25
78,48,39,87,69,22
86,57,45,98,56,21
72,49,44,77,65,26
77,54,41,90,66,14
93,52,36,109,78,15
83,60,44,99,71,25
81,51,41,91,66,16
85,56,49,92,72,32
88,50,49,89,65,21
73,45,39,79,76,20
85,50,45,90,59,19
83,49,44,88,69,28
67,49,27,89,73,16
84,55,41,98,79,27
80,64,52,92,63,25
73,41,39,75,70,29
79,52,48,83,59,24
82,44,41,85,68,22
79,51,36,94,80,18
88,41,25,104,88,17
95,53,41,107,83,21
82,44,34,92,84,21
68,49,41,76,63,22
90,52,43,99,68,18
88,51,39,100,68,23
76,61,37,100,76,14
80,56,54,82,77,32
89,46,29,106,86,26
87,43,26,104,76,18
90,43,42,91,66,17
79,40,32,87,80,18
77,45,27,95,78,22
63,51,35,79,76,23
78,69,54,93,66,21
69,53,35,87,73,21
78,63,41,100,83,17
77,52,38,91,71,20
94,54,39,109,74,17
96,48,34,110,74,16
93,38,39,92,75,20
64,48,40,72,61,18
76,47,35,88,77,25
84,36,39,81,61,19
78,44,31,91,74,23
91,49,42,98,67,17
63,58,29,92,77,16
92,57,54,95,64,20
61,55,25,91,74,15
82,56,40,98,67,21
84,36,46,74,58,18
72,46,40,78,65,17
83,57,34,106,75,27
87,46,42,91,68,14
87,44,45,86,55,19
81,45,36,90,57,13
72,40,31,81,71,18
89,62,54,97,63,17
67,54,37,84,80,21
78,41,42,77,60,25
80,63,32,111,75,17
74,59,44,89,46,15
81,61,44,98,61,23
79,40,36,83,66,20
78,39,33,84,76,19
78,51,35,94,67,17
105,44,45,104,70,25
75,54,45,84,63,20
82,44,34,92,72,24
68,53,32,89,77,23
84,48,36,96,63,20
89,68,52,105,76,16
92,57,45,104,67,21
79,60,43,96,70,19
61,52,42,71,62,20
71,68,43,96,73,22
88,46,46,88,69,17
98,47,37,108,67,24
90,51,38,103,69,18
92,52,37,107,74,17
71,48,42,77,75,23
78,51,37,92,72,14
80,51,40,91,65,19
69,50,42,77,71,23
76,57,32,101,85,23
109,55,58,106,57,21
74,60,56,78,65,15
55,49,30,74,71,20
90,59,41,108,78,17
53,43,39,57,72,21
86,43,38,91,68,12
96,54,50,100,65,26
73,54,40,87,73,26
73,48,40,81,61,26
56,59,38,77,63,19
85,36,27,94,71,25
71,57,45,83,64,16
75,55,48,82,60,16
91,53,40,104,78,22
77,47,36,88,57,26
98,48,35,111,64,16
73,41,42,72,75,14
84,52,48,88,63,22
81,42,33,90,66,18
81,43,36,88,67,14
90,55,47,98,64,27
67,60,32,95,80,21
80,49,47,82,72,26
83,51,43,91,72,24
70,56,33,93,72,21
73,39,38,74,68,21
77,43,45,75,62,25
70,59,36,93,70,25
79,46,37,88,69,19
71,65,47,89,79,22
83,46,34,95,78,22
68,57,33,92,77,23
82,41,31,92,72,20
83,44,42,85,71,16
81,37,33,85,71,19
81,45,45,81,63,18
81,32,35,78,71,17
86,41,52,75,55,28
82,53,38,97,77,18
79,38,19,98,80,12
89,54,40,103,70,19
81,57,41,97,69,23
73,57,35,95,69,14
85,52,37,100,78,12
74,55,43,86,53,17
83,53,35,101,74,20
66,48,32,82,61,29
96,41,40,97,59,19
93,49,51,91,65,27
76,41,37,80,76,21
65,54,42,77,63,17
79,43,34,88,75,25
79,62,49,92,64,24
89,52,34,107,77,20
89,49,35,103,76,19
72,59,34,97,77,21
86,47,35,98,79,26
94,51,45,100,59,20
94,53,36,111,76,16
76,45,43,78,68,20
86,48,30,104,75,20
84,45,55,74,52,23
101,55,46,110,74,25
71,60,46,85,64,24
69,62,44,87,72,26
76,50,40,86,90,18
83,57,49,91,61,19
87,51,36,102,71,27
103,53,44,112,70,20
78,47,45,80,51,19
76,48,42,82,65,14
62,48,37,73,68,23
75,40,43,72,72,14
84,49,43,90,77,28
83,53,34,102,76,14
91,54,48,97,67,23
74,41,32,83,78,21
77,53,27,103,92,16
84,46,55,75,60,21
67,62,38,91,71,19
80,51,31,100,77,23
88,47,36,99,77,20
76,63,40,99,82,21
71,60,40,91,78,25
85,57,51,91,59,20
94,51,39,106,74,23
84,52,38,98,74,16
79,50,47,82,54,21
93,38,43,88,68,14
69,51,37,83,71,13
73,55,46,82,73,21
83,59,29,113,79,14
72,55,44,83,65,24
74,41,38,77,67,26
80,54,30,104,76,13
75,57,38,94,77,20
67,53,29,91,79,17
83,52,43,92,63,19
76,57,34,99,69,14
89,53,29,113,78,24
73,59,41,91,70,19
79,57,39,97,71,13
72,60,42,90,69,27
70,41,29,82,81,14
72,59,36,95,73,16
91,46,31,106,82,17
78,54,56,76,62,22
71,56,47,80,80,24
88,47,31,104,81,24
78,45,42,81,65,16
70,57,39,88,72,10
83,50,30,103,66,21
70,45,41,74,61,25
81,49,51,79,68,14
87,56,32,111,59,20
87,52,47,92,67,23
83,44,32,95,78,20
90,57,46,101,76,18
72,47,39,80,58,15
96,50,46,100,66,30
75,73,39,109,82,22
68,57,37,88,59,16
72,56,34,94,67,22
70,49,49,70,59,26
84,45,40,89,68,17
69,47,38,78,56,14
90,50,47,93,65,20
94,64,48,110,65,14
90,50,46,94,63,22
78,44,36,86,78,16
83,56,56,83,66,25
78,59,41,96,75,18
76,44,38,82,77,14
81,45,40,86,55,15
83,53,38,98,72,15
94,49,46,97,54,20
65,50,37,78,75,26
80,41,50,71,57,14
96,58,38,116,68,27
67,50,37,80,65,18
84,44,32,96,72,23
87,42,38,91,72,18
67,55,51,71,68,23
90,45,38,97,75,21
77,52,38,91,70,14
84,57,48,93,64,18
80,38,22,96,81,21
62,61,47,76,52,26
71,43,33,81,69,17
80,44,39,85,67,19
86,63,60,89,56,18
87,53,32,108,79,18
71,45,33,83,74,19
76,43,28,91,77,19
88,47,41,94,70,21
66,55,52,69,60,22
60,55,46,69,67,22
87,39,45,81,62,17
76,48,25,99,101,22
95,47,43,99,69,25
80,46,26,100,85,20
74,53,33,94,64,23
76,50,32,94,74,17
84,44,37,91,64,21
94,53,38,109,73,25
88,54,60,82,52,13
71,62,43,90,67,22
73,51,53,71,53,14
79,57,42,94,65,26
87,35,45,77,59,17
98,55,34,119,76,23
73,46,38,81,69,26
71,51,43,79,71,21
74,43,38,79,67,19
75,46,32,89,73,12
79,49,43,85,73,27
70,46,41,75,62,18
76,53,58,71,51,25
72,55,38,89,65,12
76,55,46,85,62,16
66,47,50,63,42,28
76,45,27,94,79,16
77,39,39,77,63,16
85,58,46,97,66,23
65,48,35,78,60,18
78,44,37,85,67,21
85,53,40,98,65,18
90,38,27,101,84,15
83,45,27,101,71,18
74,59,51,82,57,18
