"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
88,46,86,48,69,17
98,47,96,49,67,24
90,51,90,51,69,18
92,52,90,54,74,17
71,48,71,48,75,23
78,51,77,52,72,14
80,51,79,52,65,19
69,50,70,49,71,23
76,57,76,57,85,23
109,55,104,60,57,21
74,60,70,64,65,15
55,49,57,47,71,20
90,59,86,63,78,17
53,43,54,42,72,21
86,43,84,45,68,12
96,54,91,59,65,26
73,54,72,55,73,26
73,48,73,48,61,26
56,59,53,62,63,19
85,36,83,38,71,25
71,57,68,60,64,16
75,55,74,56,60,16
91,53,90,54,78,22
77,47,77,47,57,26
98,48,95,51,64,16
73,41,69,45,75,14
84,52,84,52,63,22
81,42,79,44,66,18
81,43,80,44,67,14
90,55,87,58,64,27
67,60,66,61,80,21
80,49,77,52,72,26
83,51,82,52,72,24
70,56,73,53,72,21
73,39,69,43,68,21
77,43,70,50,62,25
70,59,74,55,70,25
79,46,76,49,69,19
71,65,72,64,79,22
83,46,79,50,78,22
68,57,67,58,77,23
82,41,80,43,72,20
83,44,80,47,71,16
81,37,81,37,71,19
81,45,78,48,63,18
81,32,78,35,71,17
86,41,80,47,55,28
82,53,76,59,77,18
79,38,75,42,80,12
89,54,87,56,70,19
81,57,77,61,69,23
73,57,69,61,69,14
85,52,82,55,78,12
74,55,75,54,53,17
83,53,81,55,74,20
66,48,65,49,61,29
96,41,93,44,59,19
93,49,89,53,65,27
76,41,71,46,76,21
65,54,64,55,63,17
79,43,75,47,75,25
79,62,78,63,64,24
89,52,84,57,77,20
89,49,83,55,76,19
72,59,71,60,77,21
86,47,83,50,79,26
94,51,94,51,59,20
94,53,94,53,76,16
76,45,74,47,68,20
86,48,79,55,75,20
84,45,82,47,52,23
101,55,98,58,74,25
71,60,69,62,64,24
69,62,67,64,72,26
76,50,76,50,90,18
83,57,82,58,61,19
87,51,82,56,71,27
103,53,102,54,70,20
78,47,77,48,51,19
76,48,75,49,65,14
