"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,72,63,66,17
94,40,63,71,66,14
78,58,58,78,82,24
78,57,65,70,65,19
83,56,73,66,69,22
81,45,64,62,69,19
83,49,69,63,63,21
92,46,77,61,63,20
93,53,88,58,56,19
75,45,62,58,57,18
74,48,70,52,58,23
81,36,51,66,76,16
90,54,64,80,76,22
104,48,91,61,65,20
70,50,54,66,73,22
68,53,47,74,82,17
72,60,63,69,79,20
78,47,59,66,82,13
69,57,56,70,68,23
76,49,66,59,65,11
88,48,74,62,72,21
65,61,53,73,72,16
76,38,61,53,67,23
82,41,68,55,73,20
94,47,82,59,68,22
59,43,44,58,78,21
73,49,64,58,52,16
88,45,74,59,68,30
70,64,57,77,78,17
68,44,59,53,69,26
71,58,55,74,70,19
78,54,70,62,65,21
69,50,58,61,61,22
88,63,80,71,65,14
104,52,87,69,55,16
88,53,75,66,61,28
81,50,69,62,76,23
80,54,64,70,72,15
76,47,60,63,65,20
86,58,73,71,61,24
81,50,67,64,60,12
92,47,72,67,78,19
87,58,71,74,67,15
79,46,68,57,72,16
92,42,74,60,56,21
88,40,61,67,77,21
88,48,66,70,84,22
77,48,55,70,91,21
87,34,62,59,76,19
87,46,71,62,63,17
65,48,61,52,54,17
89,41,65,65,73,16
90,48,67,71,91,14
80,45,69,56,78,22
66,42,55,53,64,16
83,52,66,69,72,22
78,43,65,56,66,14
85,58,68,75,64,22
75,48,66,57,64,16
82,53,70,65,82,23
77,50,60,67,71,20
101,52,77,76,79,18
82,64,72,74,74,25
66,48,53,61,67,24
72,49,52,69,76,23
75,42,58,59,58,23
77,50,60,67,68,16
72,44,55,61,79,19
90,45,73,62,80,28
82,50,69,63,72,21
69,48,57,60,67,23
71,42,48,65,88,20
72,45,64,53,66,25
81,52,70,63,74,22
65,54,58,61,69,23
84,58,72,70,73,16
82,38,59,61,79,17
85,46,69,62,78,25
70,51,56,65,77,17
103,60,88,75,75,26
63,52,53,62,72,16
70,28,54,44,78,20
75,43,57,61,65,22
71,62,62,71,79,19
80,62,75,67,69,21
88,41,66,63,90,31
68,53,51,70,74,16
73,50,54,69,69,19
85,51,68,68,73,16
67,44,53,58,69,14
72,52,57,67,77,23
100,49,83,66,70,18
83,39,73,49,79,24
79,35,60,54,72,25
75,58,71,62,59,11
74,49,58,65,66,18
85,46,68,63,62,15
69,51,60,60,63,20
73,44,55,62,70,21
80,52,67,65,70,24
84,51,66,69,71,19
74,55,53,76,84,19
73,48,66,55,53,26
81,53,70,64,61,26
98,38,73,63,62,12
84,50,72,62,65,19
93,48,75,66,62,9
75,49,66,58,65,17
69,45,55,59,77,29
70,47,49,68,83,24
86,56,78,64,55,23
89,53,77,65,57,20
87,47,57,77,84,20
66,50,62,54,58,17
74,57,66,65,59,20
84,56,77,63,61,20
79,54,67,66,63,18
87,43,61,69,79,15
82,49,61,70,81,22
78,48,62,64,65,24
75,47,65,57,71,16
79,42,62,59,57,20
84,56,77,63,61,23
79,52,62,69,74,13
88,40,73,55,69,21
85,57,74,68,71,23
78,61,70,69,56,18
85,41,75,51,54,30
80,42,57,65,73,12
78,53,59,72,74,16
68,51,57,62,73,26
77,43,64,56,65,14
74,60,63,71,74,28
75,43,71,47,52,25
83,57,71,69,59,22
79,52,60,71,70,17
77,55,66,66,71,18
80,52,62,70,78,24
80,58,70,68,76,28
89,53,77,65,65,22
76,49,63,62,70,17
66,49,56,59,66,15
74,48,63,59,78,20
69,45,55,59,80,22
74,45,58,61,75,25
66,53,53,66,76,22
62,48,48,62,73,21
70,47,59,58,63,17
75,49,65,59,73,32
80,55,63,72,75,23
73,44,48,69,91,28
85,57,65,77,84,28
84,54,67,71,77,21
87,47,72,62,50,23
71,60,57,74,64,21
73,41,54,60,68,19
67,44,55,56,68,17
71,48,51,68,82,22
78,53,60,71,73,25
61,59,58,62,67,22
65,55,58,62,61,18
58,46,54,50,65,19
75,59,70,64,64,22
93,44,77,60,70,18
74,61,64,71,69,19
70,53,62,61,66,22
84,82,79,87,57,19
68,34,50,52,72,18
94,43,74,63,61,14
73,48,61,60,74,19
75,49,65,59,66,19
70,42,65,47,64,9
92,56,79,69,68,30
83,45,71,57,68,25
73,46,57,62,68,18
78,53,59,72,75,16
99,48,87,60,63,21
72,48,59,61,76,22
73,52,62,63,62,17
78,42,64,56,65,25
86,50,74,62,61,15
74,53,52,75,90,19
67,60,60,67,61,18
77,63,73,67,64,19
75,59,63,71,79,16
78,48,60,66,76,18
87,40,78,49,57,23
96,55,80,71,66,25
78,48,64,62,69,22
86,57,78,65,56,21
72,49,65,56,65,26
77,54,63,68,66,14
93,52,74,71,78,15
83,60,71,72,71,25
81,51,68,64,66,16
85,56,74,67,72,32
88,50,68,70,65,21
73,45,51,67,76,20
85,50,77,58,59,19
83,49,67,65,69,28
67,49,59,57,73,16
84,55,68,71,79,27
80,64,73,71,63,25
73,41,60,54,70,29
79,52,68,63,59,24
82,44,72,54,68,22
79,51,63,67,80,18
88,41,50,79,88,17
95,53,74,74,83,21
82,44,50,76,84,21
68,49,61,56,63,22
90,52,72,70,68,18
88,51,74,65,68,23
76,61,61,76,76,14
80,56,66,70,77,32
89,46,69,66,86,26
87,43,63,67,76,18
90,43,73,60,66,17
79,40,52,67,80,18
77,45,60,62,78,22
63,51,53,61,76,23
78,69,74,73,66,21
69,53,58,64,73,21
78,63,58,83,83,17
77,52,57,72,71,20
94,54,78,70,74,17
96,48,74,70,74,16
93,38,64,67,75,20
64,48,48,64,61,18
76,47,62,61,77,25
84,36,73,47,61,19
78,44,59,63,74,23
91,49,76,64,67,17
63,58,51,70,77,16
92,57,83,66,64,20
61,55,52,64,74,15
82,56,66,72,67,21
84,36,63,57,58,18
72,46,60,58,65,17
83,57,70,70,75,27
87,46,66,67,68,14
87,44,72,59,55,19
81,45,72,54,57,13
72,40,59,53,71,18
89,62,70,81,63,17
67,54,53,68,80,21
78,41,67,52,60,25
80,63,69,74,75,17
74,59,67,66,46,15
81,61,71,71,61,23
79,40,66,53,66,20
78,39,60,57,76,19
78,51,64,65,67,17
105,44,85,64,70,25
75,54,60,69,63,20
82,44,71,55,72,24
68,53,59,62,77,23
84,48,72,60,63,20
