"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,37,98,66,17
94,40,49,85,66,14
78,58,36,100,82,24
78,57,35,100,65,19
83,56,41,98,69,22
81,45,37,89,69,19
83,49,43,89,63,21
92,46,45,93,63,20
93,53,47,99,56,19
75,45,46,74,57,18
74,48,48,74,58,23
81,36,39,78,76,16
90,54,36,108,76,22
104,48,57,95,65,20
70,50,42,78,73,22
68,53,24,97,82,17
72,60,30,102,79,20
78,47,28,97,82,13
69,57,39,87,68,23
76,49,41,84,65,11
88,48,35,101,72,21
65,61,41,85,72,16
76,38,40,74,67,23
82,41,36,87,73,20
94,47,44,97,68,22
59,43,31,71,78,21
73,49,43,79,52,16
88,45,49,84,68,30
70,64,26,108,78,17
68,44,39,73,69,26
71,58,38,91,70,19
78,54,36,96,65,21
69,50,49,70,61,22
88,63,40,111,65,14
104,52,54,102,55,16
88,53,52,89,61,28
81,50,30,101,76,23
80,54,30,104,72,15
76,47,43,80,65,20
86,58,50,94,61,24
81,50,40,91,60,12
92,47,27,112,78,19
87,58,40,105,67,15
79,46,28,97,72,16
92,42,58,76,56,21
88,40,37,91,77,21
88,48,36,100,84,22
77,48,31,94,91,21
87,34,33,88,76,19
87,46,48,85,63,17
65,48,45,68,54,17
89,41,39,91,73,16
90,48,24,114,91,14
80,45,24,101,78,22
66,42,34,74,64,16
83,52,43,92,72,22
78,43,37,84,66,14
85,58,49,94,64,22
75,48,39,84,64,16
82,53,38,97,82,23
77,50,41,86,71,20
101,52,26,127,79,18
82,64,43,103,74,25
66,48,33,81,67,24
72,49,35,86,76,23
75,42,42,75,58,23
77,50,34,93,68,16
72,44,29,87,79,19
90,45,35,100,80,28
82,50,41,91,72,21
69,48,32,85,67,23
71,42,24,89,88,20
72,45,39,78,66,25
81,52,33,100,74,22
65,54,35,84,69,23
84,58,33,109,73,16
82,38,30,90,79,17
85,46,42,89,78,25
70,51,32,89,77,17
103,60,46,117,75,26
63,52,33,82,72,16
70,28,29,69,78,20
75,43,40,78,65,22
71,62,31,102,79,19
80,62,40,102,69,21
88,41,38,91,90,31
68,53,40,81,74,16
73,50,33,90,69,19
85,51,26,110,73,16
67,44,31,80,69,14
72,52,31,93,77,23
100,49,39,110,70,18
83,39,32,90,79,24
79,35,38,76,72,25
75,58,41,92,59,11
74,49,39,84,66,18
85,46,46,85,62,15
69,51,37,83,63,20
73,44,38,79,70,21
