"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,74,61,66,17
94,40,69,65,66,14
78,58,66,70,82,24
78,57,66,69,65,19
83,56,78,61,69,22
81,45,68,58,69,19
83,49,73,59,63,21
92,46,81,57,63,20
93,53,88,58,56,19
75,45,62,58,57,18
74,48,71,51,58,23
81,36,65,52,76,16
90,54,68,76,76,22
104,48,95,57,65,20
70,50,60,60,73,22
68,53,57,64,82,17
72,60,66,66,79,20
78,47,71,54,82,13
69,57,61,65,68,23
76,49,69,56,65,11
88,48,79,57,72,21
65,61,59,67,72,16
76,38,66,48,67,23
82,41,74,49,73,20
94,47,84,57,68,22
59,43,50,52,78,21
73,49,63,59,52,16
88,45,80,53,68,30
70,64,64,70,78,17
68,44,64,48,69,26
71,58,61,68,70,19
78,54,74,58,65,21
69,50,61,58,61,22
88,63,80,71,65,14
104,52,87,69,55,16
88,53,74,67,61,28
81,50,76,55,76,23
80,54,72,62,72,15
76,47,64,59,65,20
86,58,73,71,61,24
81,50,70,61,60,12
92,47,78,61,78,19
87,58,70,75,67,15
79,46,74,51,72,16
92,42,75,59,56,21
88,40,72,56,77,21
88,48,78,58,84,22
77,48,68,57,91,21
87,34,74,47,76,19
87,46,73,60,63,17
65,48,61,52,54,17
89,41,74,56,73,16
90,48,80,58,91,14
80,45,79,46,78,22
66,42,58,50,64,16
83,52,71,64,72,22
78,43,68,53,66,14
85,58,68,75,64,22
75,48,72,51,64,16
82,53,76,59,82,23
77,50,66,61,71,20
101,52,84,69,79,18
82,64,74,72,74,25
66,48,58,56,67,24
72,49,64,57,76,23
75,42,62,55,58,23
77,50,65,62,68,16
72,44,63,53,79,19
90,45,81,54,80,28
82,50,75,57,72,21
69,48,62,55,67,23
71,42,61,52,88,20
72,45,69,48,66,25
81,52,78,55,74,22
65,54,62,57,69,23
84,58,74,68,73,16
82,38,71,49,79,17
85,46,78,53,78,25
70,51,62,59,77,17
103,60,91,72,75,26
63,52,56,59,72,16
70,28,66,32,78,20
75,43,63,55,65,22
71,62,66,67,79,19
80,62,78,64,69,21
88,41,80,49,90,31
68,53,57,64,74,16
73,50,57,66,69,19
85,51,74,62,73,16
67,44,58,53,69,14
72,52,65,59,77,23
100,49,87,62,70,18
83,39,80,42,79,24
79,35,69,45,72,25
75,58,75,58,59,11
74,49,62,61,66,18
85,46,70,61,62,15
69,51,64,56,63,20
73,44,63,54,70,21
80,52,70,62,70,24
84,51,73,62,71,19
74,55,62,67,84,19
73,48,65,56,53,26
81,53,73,61,61,26
98,38,79,57,62,12
84,50,74,60,65,19
93,48,73,68,62,9
75,49,68,56,65,17
69,45,63,51,77,29
70,47,61,56,83,24
86,56,82,60,55,23
89,53,77,65,57,20
87,47,71,63,84,20
66,50,64,52,58,17
74,57,65,66,59,20
84,56,77,63,61,20
79,54,68,65,63,18
87,43,73,57,79,15
82,49,69,62,81,22
78,48,67,59,65,24
75,47,71,51,71,16
79,42,67,54,57,20
84,56,81,59,61,23
79,52,69,62,74,13
88,40,77,51,69,21
85,57,77,65,71,23
78,61,69,70,56,18
85,41,79,47,54,30
80,42,66,56,73,12
78,53,64,67,74,16
68,51,62,57,73,26
77,43,67,53,65,14
74,60,67,67,74,28
75,43,72,46,52,25
83,57,73,67,59,22
79,52,65,66,70,17
77,55,72,60,71,18
80,52,69,63,78,24
80,58,76,62,76,28
89,53,80,62,65,22
76,49,71,54,70,17
66,49,61,54,66,15
74,48,68,54,78,20
69,45,62,52,80,22
74,45,66,53,75,25
66,53,62,57,76,22
62,48,54,56,73,21
70,47,62,55,63,17
75,49,69,55,73,32
80,55,67,68,75,23
73,44,62,55,91,28
85,57,72,70,84,28
84,54,73,65,77,21
87,47,68,66,50,23
71,60,60,71,64,21
73,41,59,55,68,19
67,44,60,51,68,17
71,48,61,58,82,22
78,53,65,66,73,25
61,59,60,60,67,22
65,55,61,59,61,18
58,46,55,49,65,19
75,59,69,65,64,22
93,44,81,56,70,18
74,61,70,65,69,19
70,53,64,59,66,22
