"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,69,66,66,17
94,40,60,74,66,14
78,58,53,83,82,24
78,57,61,74,65,19
83,56,71,68,69,22
81,45,64,62,69,19
83,49,67,65,63,21
92,46,71,67,63,20
93,53,88,58,56,19
75,45,57,63,57,18
74,48,66,56,58,23
81,36,47,70,76,16
90,54,58,86,76,22
104,48,85,67,65,20
70,50,52,68,73,22
68,53,46,75,82,17
72,60,60,72,79,20
78,47,57,68,82,13
69,57,54,72,68,23
76,49,65,60,65,11
88,48,70,66,72,21
65,61,49,77,72,16
76,38,56,58,67,23
82,41,63,60,73,20
94,47,78,63,68,22
59,43,38,64,78,21
73,49,65,57,52,16
88,45,70,63,68,30
70,64,57,77,78,17
68,44,55,57,69,26
71,58,51,78,70,19
78,54,68,64,65,21
69,50,53,66,61,22
88,63,80,71,65,14
104,52,85,71,55,16
88,53,66,75,61,28
81,50,63,68,76,23
80,54,61,73,72,15
76,47,58,65,65,20
86,58,68,76,61,24
81,50,64,67,60,12
92,47,65,74,78,19
87,58,68,77,67,15
79,46,64,61,72,16
92,42,67,67,56,21
88,40,53,75,77,21
88,48,66,70,84,22
77,48,50,75,91,21
87,34,56,65,76,19
87,46,70,63,63,17
65,48,54,59,54,17
89,41,64,66,73,16
90,48,62,76,91,14
80,45,56,69,78,22
66,42,55,53,64,16
83,52,61,74,72,22
78,43,56,65,66,14
85,58,63,80,64,22
75,48,57,66,64,16
82,53,59,76,82,23
77,50,62,65,71,20
101,52,76,77,79,18
82,64,65,81,74,25
66,48,54,60,67,24
72,49,60,61,76,23
75,42,63,54,58,23
77,50,62,65,68,16
72,44,52,64,79,19
90,45,62,73,80,28
82,50,66,66,72,21
69,48,59,58,67,23
71,42,44,69,88,20
72,45,56,61,66,25
81,52,66,67,74,22
65,54,50,69,69,23
84,58,69,73,73,16
82,38,60,60,79,17
85,46,63,68,78,25
70,51,50,71,77,17
103,60,69,94,75,26
63,52,50,65,72,16
70,28,44,54,78,20
75,43,57,61,65,22
71,62,58,75,79,19
80,62,73,69,69,21
88,41,48,81,90,31
68,53,53,68,74,16
73,50,60,63,69,19
85,51,65,71,73,16
67,44,47,64,69,14
72,52,52,72,77,23
100,49,72,77,70,18
83,39,50,72,79,24
79,35,55,59,72,25
75,58,61,72,59,11
74,49,54,69,66,18
85,46,69,62,62,15
69,51,54,66,63,20
73,44,57,60,70,21
80,52,60,72,70,24
84,51,58,77,71,19
74,55,54,75,84,19
73,48,62,59,53,26
81,53,60,74,61,26
98,38,80,56,62,12
84,50,68,66,65,19
93,48,78,63,62,9
75,49,60,64,65,17
69,45,48,66,77,29
70,47,46,71,83,24
86,56,69,73,55,23
89,53,82,60,57,20
87,47,61,73,84,20
66,50,56,60,58,17
74,57,61,70,59,20
84,56,73,67,61,20
79,54,62,71,63,18
87,43,55,75,79,15
82,49,60,71,81,22
78,48,66,60,65,24
75,47,56,66,71,16
79,42,67,54,57,20
84,56,69,71,61,23
79,52,57,74,74,13
88,40,67,61,69,21
85,57,65,77,71,23
78,61,71,68,56,18
85,41,70,56,54,30
80,42,59,63,73,12
78,53,61,70,74,16
68,51,57,62,73,26
77,43,62,58,65,14
74,60,56,78,74,28
75,43,63,55,52,25
83,57,67,73,59,22
79,52,61,70,70,17
77,55,61,71,71,18
80,52,56,76,78,24
80,58,58,80,76,28
89,53,67,75,65,22
76,49,59,66,70,17
66,49,44,71,66,15
74,48,46,76,78,20
69,45,42,72,80,22
74,45,54,65,75,25
66,53,46,73,76,22
62,48,44,66,73,21
70,47,64,53,63,17
75,49,60,64,73,32
80,55,68,67,75,23
73,44,45,72,91,28
85,57,64,78,84,28
84,54,64,74,77,21
87,47,77,57,50,23
71,60,62,69,64,21
73,41,53,61,68,19
67,44,52,59,68,17
71,48,54,65,82,22
78,53,71,60,73,25
61,59,48,72,67,22
65,55,58,62,61,18
58,46,44,60,65,19
75,59,57,77,64,22
93,44,73,64,70,18
74,61,60,75,69,19
70,53,54,69,66,22
84,82,79,87,57,19
68,34,50,52,72,18
94,43,74,63,61,14
73,48,55,66,74,19
75,49,64,60,66,19
70,42,57,55,64,9
92,56,74,74,68,30
83,45,69,59,68,25
73,46,50,69,68,18
78,53,60,71,75,16
99,48,81,66,63,21
72,48,57,63,76,22
73,52,57,68,62,17
78,42,64,56,65,25
86,50,70,66,61,15
74,53,50,77,90,19
67,60,60,67,61,18
77,63,58,82,64,19
75,59,50,84,79,16
78,48,61,65,76,18
87,40,66,61,57,23
96,55,86,65,66,25
78,48,59,67,69,22
86,57,74,69,56,21
72,49,58,63,65,26
77,54,60,71,66,14
93,52,73,72,78,15
83,60,69,74,71,25
81,51,60,72,66,16
85,56,67,74,72,32
88,50,63,75,65,21
73,45,56,62,76,20
85,50,68,67,59,19
83,49,64,68,69,28
67,49,50,66,73,16
84,55,60,79,79,27
80,64,72,72,63,25
73,41,49,65,70,29
79,52,68,63,59,24
82,44,58,68,68,22
79,51,57,73,80,18
88,41,51,78,88,17
95,53,70,78,83,21
82,44,55,71,84,21
68,49,56,61,63,22
90,52,75,67,68,18
88,51,72,67,68,23
76,61,55,82,76,14
80,56,55,81,77,32
89,46,55,80,86,26
87,43,54,76,76,18
