"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
82,53,57,78,66,17
94,40,62,72,66,14
78,58,35,101,82,24
78,57,54,81,65,19
83,56,61,78,69,22
81,45,50,76,69,19
83,49,55,77,63,21
92,46,65,73,63,20
93,53,69,77,56,19
75,45,51,69,57,18
74,48,51,71,58,23
81,36,38,79,76,16
90,54,61,83,76,22
104,48,64,88,65,20
70,50,35,85,73,22
68,53,39,82,82,17
72,60,46,86,79,20
78,47,43,82,82,13
69,57,51,75,68,23
76,49,57,68,65,11
88,48,58,78,72,21
65,61,42,84,72,16
76,38,48,66,67,23
82,41,47,76,73,20
94,47,61,80,68,22
59,43,33,69,78,21
73,49,55,67,52,16
88,45,53,80,68,30
70,64,40,94,78,17
68,44,40,72,69,26
71,58,45,84,70,19
78,54,49,83,65,21
69,50,49,70,61,22
88,63,60,91,65,14
104,52,69,87,55,16
88,53,50,91,61,28
81,50,51,80,76,23
80,54,47,87,72,15
76,47,57,66,65,20
86,58,58,86,61,24
81,50,58,73,60,12
92,47,43,96,78,19
87,58,56,89,67,15
79,46,44,81,72,16
92,42,59,75,56,21
88,40,44,84,77,21
88,48,50,86,84,22
77,48,45,80,91,21
87,34,45,76,76,19
87,46,57,76,63,17
65,48,50,63,54,17
89,41,48,82,73,16
90,48,39,99,91,14
80,45,48,77,78,22
66,42,40,68,64,16
83,52,50,85,72,22
78,43,61,60,66,14
85,58,54,89,64,22
75,48,49,74,64,16
82,53,43,92,82,23
77,50,52,75,71,20
101,52,56,97,79,18
82,64,46,100,74,25
66,48,48,66,67,24
72,49,35,86,76,23
75,42,61,56,58,23
77,50,47,80,68,16
72,44,44,72,79,19
90,45,51,84,80,28
82,50,53,79,72,21
69,48,46,71,67,23
71,42,37,76,88,20
72,45,47,70,66,25
81,52,54,79,74,22
65,54,41,78,69,23
84,58,56,86,73,16
82,38,49,71,79,17
85,46,46,85,78,25
70,51,40,81,77,17
103,60,64,99,75,26
63,52,40,75,72,16
70,28,37,61,78,20
75,43,43,75,65,22
71,62,40,93,79,19
80,62,59,83,69,21
88,41,32,97,90,31
68,53,39,82,74,16
73,50,36,87,69,19
85,51,54,82,73,16
67,44,45,66,69,14
72,52,42,82,77,23
100,49,51,98,70,18
83,39,43,79,79,24
79,35,51,63,72,25
75,58,55,78,59,11
74,49,48,75,66,18
85,46,53,78,62,15
69,51,49,71,63,20
73,44,51,66,70,21
80,52,49,83,70,24
84,51,58,77,71,19
74,55,42,87,84,19
73,48,60,61,53,26
81,53,58,76,61,26
98,38,59,77,62,12
84,50,50,84,65,19
93,48,63,78,62,9
75,49,50,74,65,17
69,45,36,78,77,29
70,47,42,75,83,24
86,56,63,79,55,23
89,53,59,83,57,20
87,47,43,91,84,20
66,50,53,63,58,17
74,57,59,72,59,20
84,56,55,85,61,20
79,54,51,82,63,18
87,43,55,75,79,15
82,49,38,93,81,22
78,48,58,68,65,24
75,47,46,76,71,16
79,42,51,70,57,20
84,56,56,84,61,23
79,52,46,85,74,13
88,40,52,76,69,21
85,57,54,88,71,23
78,61,49,90,56,18
85,41,65,61,54,30
80,42,38,84,73,12
78,53,48,83,74,16
68,51,43,76,73,26
77,43,46,74,65,14
74,60,36,98,74,28
75,43,56,62,52,25
83,57,63,77,59,22
79,52,51,80,70,17
77,55,57,75,71,18
80,52,45,87,78,24
80,58,46,92,76,28
89,53,63,79,65,22
76,49,46,79,70,17
66,49,42,73,66,15
74,48,43,79,78,20
69,45,41,73,80,22
74,45,43,76,75,25
66,53,40,79,76,22
62,48,37,73,73,21
70,47,55,62,63,17
75,49,55,69,73,32
80,55,52,83,75,23
73,44,35,82,91,28
85,57,48,94,84,28
84,54,58,80,77,21
87,47,66,68,50,23
71,60,52,79,64,21
73,41,49,65,68,19
67,44,41,70,68,17
71,48,37,82,82,22
78,53,48,83,73,25
61,59,40,80,67,22
65,55,57,63,61,18
58,46,41,63,65,19
75,59,63,71,64,22
93,44,59,78,70,18
74,61,49,86,69,19
70,53,64,59,66,22
84,82,73,93,57,19
68,34,40,62,72,18
94,43,63,74,61,14
73,48,54,67,74,19
75,49,49,75,66,19
70,42,50,62,64,9
92,56,64,84,68,30
83,45,47,81,68,25
73,46,44,75,68,18
78,53,41,90,75,16
99,48,72,75,63,21
72,48,37,83,76,22
73,52,54,71,62,17
78,42,61,59,65,25
86,50,59,77,61,15
74,53,34,93,90,19
67,60,49,78,61,18
77,63,62,78,64,19
75,59,35,99,79,16
78,48,47,79,76,18
87,40,52,75,57,23
96,55,60,91,66,25
78,48,58,68,69,22
86,57,56,87,56,21
72,49,53,68,65,26
77,54,60,71,66,14
93,52,54,91,78,15
83,60,57,86,71,25
81,51,54,78,66,16
85,56,54,87,72,32
88,50,53,85,65,21
73,45,38,80,76,20
85,50,61,74,59,19
83,49,52,80,69,28
67,49,45,71,73,16
84,55,58,81,79,27
80,64,51,93,63,25
73,41,45,69,70,29
79,52,57,74,59,24
82,44,57,69,68,22
79,51,48,82,80,18
88,41,42,87,88,17
95,53,44,104,83,21
82,44,50,76,84,21
68,49,45,72,63,22
90,52,63,79,68,18
88,51,52,87,68,23
76,61,50,87,76,14
80,56,47,89,77,32
89,46,46,89,86,26
87,43,47,83,76,18
90,43,51,82,66,17
79,40,42,77,80,18
77,45,51,71,78,22
63,51,41,73,76,23
78,69,54,93,66,21
69,53,48,74,73,21
78,63,44,97,83,17
77,52,42,87,71,20
94,54,42,106,74,17
96,48,52,92,74,16
93,38,50,81,75,20
64,48,40,72,61,18
76,47,45,78,77,25
84,36,66,54,61,19
78,44,53,69,74,23
91,49,55,85,67,17
63,58,37,84,77,16
92,57,64,85,64,20
61,55,31,85,74,15
82,56,60,78,67,21
84,36,65,55,58,18
72,46,48,70,65,17
83,57,48,92,75,27
87,46,63,70,68,14
87,44,60,71,55,19
81,45,66,60,57,13
72,40,37,75,71,18
89,62,63,88,63,17
67,54,51,70,80,21
78,41,58,61,60,25
80,63,51,92,75,17
74,59,54,79,46,15
81,61,53,89,61,23
79,40,51,68,66,20
78,39,43,74,76,19
78,51,49,80,67,17
105,44,62,87,70,25
75,54,41,88,63,20
82,44,45,81,72,24
68,53,46,75,77,23
84,48,50,82,63,20
89,68,52,105,76,16
92,57,40,109,67,21
79,60,55,84,70,19
61,52,47,66,62,20
71,68,43,96,73,22
88,46,63,71,69,17
98,47,62,83,67,24
90,51,52,89,69,18
92,52,55,89,74,17
71,48,51,68,75,23
78,51,51,78,72,14
80,51,56,75,65,19
69,50,47,72,71,23
76,57,45,88,85,23
109,55,86,78,57,21
74,60,50,84,65,15
55,49,36,68,71,20
90,59,48,101,78,17
53,43,37,59,72,21
86,43,45,84,68,12
96,54,65,85,65,26
73,54,48,79,73,26
73,48,52,69,61,26
56,59,39,76,63,19
85,36,60,61,71,25
71,57,49,79,64,16
75,55,55,75,60,16
91,53,51,93,78,22
77,47,47,77,57,26
98,48,69,77,64,16
73,41,41,73,75,14
84,52,59,77,63,22
81,42,48,75,66,18
81,43,51,73,67,14
90,55,66,79,64,27
67,60,34,93,80,21
80,49,42,87,72,26
83,51,49,85,72,24
70,56,40,86,72,21
73,39,49,63,68,21
77,43,57,63,62,25
70,59,48,81,70,25
79,46,39,86,69,19
71,65,38,98,79,22
83,46,51,78,78,22
68,57,45,80,77,23
82,41,47,76,72,20
83,44,49,78,71,16
81,37,48,70,71,19
81,45,61,65,63,18
81,32,48,65,71,17
86,41,64,63,55,28
82,53,48,87,77,18
79,38,48,69,80,12
89,54,51,92,70,19
81,57,61,77,69,23
73,57,50,80,69,14
85,52,49,88,78,12
74,55,53,76,53,17
83,53,50,86,74,20
66,48,47,67,61,29
96,41,64,73,59,19
93,49,65,77,65,27
76,41,41,76,76,21
65,54,33,86,63,17
79,43,52,70,75,25
79,62,50,91,64,24
89,52,49,92,77,20
89,49,53,85,76,19
72,59,43,88,77,21
86,47,51,82,79,26
94,51,73,72,59,20
94,53,50,97,76,16
76,45,51,70,68,20
86,48,57,77,75,20
84,45,72,57,52,23
101,55,55,101,74,25
71,60,55,76,64,24
69,62,51,80,72,26
76,50,27,99,90,18
83,57,60,80,61,19
87,51,56,82,71,27
103,53,70,86,70,20
78,47,59,66,51,19
76,48,47,77,65,14
62,48,45,65,68,23
75,40,48,67,72,14
84,49,51,82,77,28
83,53,44,92,76,14
91,54,63,82,67,23
74,41,40,75,78,21
77,53,30,100,92,16
84,46,54,76,60,21
67,62,42,87,71,19
80,51,54,77,77,23
88,47,47,88,77,20
76,63,46,93,82,21
71,60,38,93,78,25
85,57,66,76,59,20
94,51,53,92,74,23
84,52,46,90,74,16
79,50,52,77,54,21
93,38,66,65,68,14
69,51,45,75,71,13
73,55,43,85,73,21
83,59,44,98,79,14
72,55,50,77,65,24
74,41,44,71,67,26
80,54,46,88,76,13
75,57,50,82,77,20
67,53,38,82,79,17
83,52,60,75,63,19
76,57,51,82,69,14
89,53,51,91,78,24
73,59,46,86,70,19
79,57,50,86,71,13
72,60,49,83,69,27
70,41,30,81,81,14
72,59,49,82,73,16
91,46,55,82,82,17
78,54,55,77,62,22
71,56,50,77,80,24
88,47,55,80,81,24
78,45,53,70,65,16
70,57,42,85,72,10
83,50,54,79,66,21
70,45,48,67,61,25
81,49,43,87,68,14
87,56,59,84,59,20
87,52,65,74,67,23
83,44,49,78,78,20
90,57,46,101,76,18
72,47,52,67,58,15
96,50,61,85,66,30
75,73,40,108,82,22
68,57,52,73,59,16
72,56,46,82,67,22
70,49,51,68,59,26
84,45,46,83,68,17
69,47,49,67,56,14
90,50,56,84,65,20
94,64,63,95,65,14
90,50,70,70,63,22
78,44,40,82,78,16
83,56,56,83,66,25
78,59,48,89,75,18
76,44,31,89,77,14
81,45,52,74,55,15
83,53,52,84,72,15
94,49,69,74,54,20
65,50,37,78,75,26
80,41,56,65,57,14
96,58,67,87,68,27
67,50,46,71,65,18
84,44,55,73,72,23
87,42,53,76,72,18
67,55,43,79,68,23
90,45,53,82,75,21
77,52,53,76,70,14
84,57,44,97,64,18
80,38,37,81,81,21
62,61,51,72,52,26
71,43,44,70,69,17
